Fisher Stevens
Nati Abascal
Dick Clay
Oskar Homolka
Samantha Morton
Dinah Shore
Michael Hui
Didier Sandre
Vladimir Cruz
Circle Jerks
Henry Silva
Agnès Soral
Rabia Ben Abdallah
Dario D'Ambrosi
Jonny Phillips
Patti LuPone
Richard S. Castellano
Maria Probosz
Ruth Gordon
Jean-Marc Barr
Henning Moritzen
Jeremy Davies
Jane March
Fredro Starr
Cary Grant
Alfred Ryder
David Brisbin
Gordon Harker
Barbara Sukowa
Todd Bryant
Allen Ginsberg
Boyan Milushev
Deborah Cordell
Keri Jo Chapman
Madam Alex
Kris McQuade
Samuel West
Halle Berry
Heather Locklear
Kathy Baker
Jesse Bradford
Robin Irvine
Sean Young
Leonard Whiting
Mary Kay Place
Katherine Helmond
Daniel Beer
Nita Naldi
Cherie Lunghi
Jane Wheeler
Margarita Terekhova
Juliet Landau
Jerry Swindall
Pietro Falcone
Jerry Springer
Vince Edwards
Maria del Mar
Jonathan Walker
Anthony McKay
Mariel Hemingway
Paula Jai Parker
Blandine Lenoir
Chad Boardman
Clarence Felder
Mara Wilson
Junius Matthews
Tomas von Brömssen
Mikel Conrad
Adam Cockburn
Debbie Reynolds
Nick Reding
France Nuyen
Norman Bartold
Bud Abbott
Zhigang Zhang
Christina Veronica
Nigel Green
Keith Allen
John Emery
Hugh O'Conor
Jason Flemyng
Yûki Kudô
Michael McKean
Harry Lloyd
Jenna Byrne
Scott Bigelow
Rossano Brazzi
Sebastian Blomberg
Tracey Walter
Kieu Chinh
Anne Arthur
John Otrin
Fred McCarren
Sergio Castellitto
Hugo Soto
Karen Meagher
Chandra West
Dick York
Curtis Gates
Alan Arkin
Stephen Fry
Courtney Chase
Chris Isaak
Hugh Dillon
Victor Steinbach
Diem Kieu
Larry Mullen Jr.
Elizabeth Berridge
Tim Mirkovich
Elizabeth Peña
Doug McKeon
Denise Crosby
Emmanuelle Béart
Keye Luke
Brian Bonsall
Rhonda Britton
Talya Gordon
Manuel Lozano
Gary Cooper
Roger Moore
Victor Buono
Richard Barthelmess
Xiaolu Li
Kevin J. O'Connor
Christopher Daniel Barnes
James Coburn
Huey Lewis
Dom DeLuise
Jean Shepherd
Mike Maas
Stuart Wilson
Katrin Cartlidge
Eddie Constantine
Gaël Morel
Teri Polo
Dawn McMillan
Elaine Hendrix
Esther Rolle
Becky Jo Lynch
Erno Crisa
Dayle Haddon
Miguel Ángel Solá
Michael Madsen
Julianne Nicholson
Billy Burke
Jason Brouwer
Brian Deacon
John Canada Terrell
Francisco Rabal
Bernd Daktari Lorenz
Zach Braff
Gustav von Seyffertitz
Rongguang Yu
Cybill Shepherd
Jon Polito
Shani Wallis
Joe Torry
Ron Randell
John Cleese
Hardie Albright
Jake Gyllenhaal
Jamey Sheridan
Stephen Tompkinson
Sela Ward
Billy Crystal
Ian Abercrombie
Hector Elizondo
Jennifer Morrison
Marg Helgenberger
Hayden Panettiere
Steven Bauer
Jayce Bartok
Randy Travis
Maia Brewton
James Woods
Mel Harris
Laurence Olivier
Daria Lynn
Veronika Bendová
Susanna Mekhraliyeva
Barbara Loden
Helen Slater
Itzhak Perlman
Brigitta Dau
Ramsey Krull
Susan Swift
Adam Sandler
Gigio Morra
Robert Beatty
Halina Gryglaszewska
Kevin Sorbo
Patrice Cabanel
Randi Ingerman
Adolphe Menjou
Cesar Romero
Stephanie Sawyer
Kirsten Baker
Stacey Alfano
Maila Nurmi
Lawrence Gilliard Jr.
John Carroll Lynch
Martha Scott
James Rebhorn
Josh Brolin
John DiMaggio
Ray Bolger
Chuck D
Sid Allen
Alan Tam
Ben Affleck
John O. Nelson
Nicholas Rowe
John Lupton
Heidi von Palleske
Susanne Pollatschek
Kimberley Davies
John McGarr
Clark Brandon
Dan Gunther
Robert Clarke
Vinícius de Oliveira
Dennis Franz
Matt Frewer
Fess Parker
C. Thomas Howell
Garry Sweeney
Sharlene Brown
Lynn Redgrave
Jay Underwood
Richard Belzer
Jonathan Abrahams
Richard Gere
Walter Catlett
Yvonne Furneaux
Rosanna Fratello
Béatrice Romand
Tetyana Kryvytska Stang Lund
Dorian Corey
Sam Worthington
Adam Baldwin
Bernard Miles
Dominique Belcourt
Oleg Menshikov
Magaye Niang
Miki Lee
Howard Da Silva
Seymour Cassel
Amir AboulEla
Daniel Hugh Kelly
Rob Schneider
Richard Basehart
Jeremy Sisto
Jinpachi Nezu
Bryan White
Warren Beatty
Liam Cunningham
Bussaro Sanruck
Danny Cunningham
Edna Best
Miguel Gutiérrez
Maud Adams
Gabrielle Rose
Sean McClory
Jamie Gonzalez
Cyril Cusack
Willis Draffen Jr.
Kelli Maroney
Lisa Bonet
Brent Spiner
Suzanne Krull
Nathan Bexton
Lumi Cavazos
Sean Lawlor
Anouk Aimée
Scott Bairstow
Jenny Agutter
Mia Farrow
Chi McBride
David Alan Grier
Miles Mander
Amanda Donohoe
Devine
Bahare Seddiqi
Kathy Najimy
Heather Menzies-Urich
Time Winters
Nelly Pappaert
Forest Whitaker
Sage Allen
Margit Carstensen
Karrie Emerson
Julie Bishop
Leslie Nielsen
Marley Shelton
Harry Secombe
Maurice Page
Shirley Stoler
Darrel Guilbeau
Merle Nicks
Christina Brucato
Bert Williams
James Stewart
Michael Zorek
Martin Clunes
Troy Donahue
Petra Malakova
Kitty Courbois
Timothy Leary
Hildegard Knef
Kelsey Grammer
Bruce La Bruce
Ron Vawter
Bruce Reitherman
Grace Phillips
Ronald Lacey
Alannah Ong
Michael Rooker
John Alansu
Amy Steel
Anna Lee
Mark Hamill
Dororthy Thorton
Jennifer Drake
Spike Jonze
Roosevelt Barnes
David Marshall Grant
Imelda Staunton
Harry Crocker
Margot Kidder
Takehiro Murata
Leon Lai
Mario Adorf
James Doohan
Katia Ricciarelli
Kim De Angelo
Teresa Wright
Adam LaVorgna
Ignat Daniltsev
Jeep Swenson
Heather Hogan
Shannon Whirry
Sandy Winton
Charles Paton
Mark Holton
Linda Miller
James Hayter
Simon Bossell
José Lewgoy
Donald Curtis
Peter Stormare
Hubert Koundé
Sara Gilbert
Rosanna Carter
Ben Chaplin
Merna Kennedy
Colleen Dewhurst
Rachael Leigh Cook
Jodie Foster
Bert Lahr
Toby
David Evans
Fay Ripley
Laura Dern
Murvyn Vye
Aleksandr Baluev
Giacomo Fadda
John Tormey
Matthew Lillard
Brenda de Banzie
Lexi Randall
Francis Huster
Terry Moore
Gloria Stuart
Billy Green Bush
Sam J. Jones
Zack Norman
Jerry O'Connell
Joanna Merlin
Patrick Hinz
Gladys Cooper
Manoel de Oliveira
Robert Stephens
Bernie Mac
Jimmy Somerville
Andrew Asnes
Bentley Mitchum
Luis Guzmán
Paul Winfield
John Hargreaves
Sally Yeh
Pascal Cervo
Michael Keaton
Agnes Moorehead
Da Brat
Billy Crudup
Robert Prichard
Sharon Farrell
Don Ameche
Michael Jeter
Jason Priestley
Ray Sharkey
Hope Davis
Thomas Sadoski
Christina Applegate
Dan Burns
Christopher George
Vincent Gallo
Andrew Robertson
Christianne Hirt
Antoine Pialat
Tom Savini
Dejan Acimovic
James Douglas
Peter Friedman
Ulrich Noethen
Salvador Wood
Paul Hörbiger
Charles King
Deborah Foreman
Erika Oda
George Shevtsov
Sheryl Lee Ralph
Isa Thomas
J.J. Johnston
Julie Sommars
Antonio Mendoza
Zelda Rubinstein
Nikita Hopkins
Peter Bull
Captain Haggerty
Belinda Bauer
Nina Petri
Darien Takle
Allen Fiuzat
Philip Seymour Hoffman
Seth Green
Joel Murray
Janny Brandes-Brilslijper
Michael Imperioli
Livio Badurina
Mary McDonnell
Linda Harrison
Elyse Knox
Christie Clark
Lester Rawlins
Hans Conried
Samson Jorah
Kerr Smith
Marie Rivière
Bobcat Goldthwait
Leonardo Cimino
Hope Lange
Harry Andrews
Peta Wilson
Marianne Koch
Linda Warren
Dina Meyer
Henry Travers
Powers Boothe
Tovah Feldshuh
Pearl Bailey
Wally Cox
Patrick Van Horn
Giuseppe Andrews
Corin Redgrave
Diane Ladd
Dana Wheeler-Nicholson
Marla Schaffel
Alfred Abel
Michael Graham Cox
Yû Fujiki
Macaulay Culkin
Samantha Lavigne
Harryette Warren
Ramses Ignacio
Ryan Daugherty
Danny Nucci
Nike Arrighi
Omar Epps
Wade Dominguez
Ayelet Kaznelson
Shelley Winters
Niklaus Lange
Michael Cudlitz
Maria Mathiesen
Anki Lidén
Larry Villanueva
Ray Thompson
Thokozani Nkosi
Herbert Grönemeyer
Ginger Rogers
Jere Burns
Angela Baddeley
Alun Armstrong
Courteney Cox
Ned Beatty
Elizabeth Ashley
Gore Vidal
Husnija Hasimovic
Alexandra Wilson
Antoine Basler
Louis Eppolito
Naomi Watts
R. Lee Ermey
Robert Montgomery
Gloria Hope
Marie Theisen
Lee Richardson
Jean Parker
Jameson Thomas
Martin Goldman
Mike Binder
Dana Carvey
Hatty Jones
Aleksa Palladino
Morris Ankrum
Natalie Morse
Sara Allgood
Henri Garcin
Ivo Garrani
Noah Beery Jr.
Phyllis Franklin
James Carpenter
Steve Marshall
William Butler
Paula Irvine
Amy Brenneman
Hugh Fraser
Emmanuel Xuereb
Geraldo Rivera
Joaquim de Almeida
Diane Keaton
Ray McAnally
Fay Lemport
Dean Martin
Ildikó Bánsági
Mary Alice
David Coburn
Samuel Gould
Chris Cooke
Josh Hamilton
Shawn Doyle
Andrew Seear
Paul Muller
Joss Ackland
Marina Vlady
Michael Paré
Michael Bowen
Lesley Sharp
Joanne Nail
Enzo Tarascio
Tom Waits
Helen Mirren
Justin Urich
A.J. Langer
Judd Hirsch
Pras Michel
Paul Lynde
Henry Daniell
Simon MacCorkindale
Joseph Wayne Miller
Lou Dobbs
Jay Fletcher
Billy Connolly
Joseph Blaire
Linda Hunt
Kathleen Kinmont
Muhammad Ali
Emmanuelle Seigner
Dirk Benedict
Victoria Foyt
Kathy Larson
Stephen Mendillo
Daniel Shalikar
Émile Genest
Twiggy
Patrick Bergin
Ken'ichi Hagiwara
Piper Perabo
Rick Ducommun
Aurore Clément
Glenndon Chatman
Jacquelyn Hyde
Emma Thompson
Mario Van Peebles
Pierre Fresnay
Janice Heiden
Fred Draper
John Terlesky
Aurora Miranda
Jodi Benson
Kevin Corrigan
Jean-Luc Godard
Bernard-Pierre Donnadieu
Daniel Buain
Robyn Lively
Evan Richards
Madge Evans
Miki Kim
Michael Gwynn
Madeleine Blaustein
Cynthia Preston
Russ Little
Eleonore Condo
Brad Hall
Donna DeLory
Chris Penn
Peter Marquardt
David Tomlinson
Robert Harden
Kenneth More
Ian Hart
Tommy Handley
Dick Foran
Megan Edwards
Leon M. Lion
Lillian Hall-Davis
Felicitas Grimm-Luck
Jodi Long
Moira Deady
Dana Ashbrook
Trini Alvarado
Élodie Bouchez
Danny Kaye
Rodney Dangerfield
Chuck Bush
Fraser James
Davor Dujmovic
James Robinson
Cathy Moriarty
Heather Matarazzo
Donna Reed
Carol Haney
Ron Marquette
Steve Railsback
Seema Biswas
Cecillia Stark
Eduardo Ciannelli
Nicky Guadagni
Peter Reynolds
Tony Peters
Constance Towers
Ramsay Ames
Ayesha Dharker
Abdolrahman Bagheri
Isla Blair
Yoshio Harada
Jeffrey Force
Maurizio Nichetti
Freda Foh Shen
Yves-Marie Maurin
Jessica Harper
Guillermo Díaz
Kevin Michael Richardson
Thom Mathews
David Proval
Pat E. Johnson
RaéVen Kelly
Krystia Mova
Beulah Booker
Vaughan Sheffield
Barbara Sonneborn
Lillian Gish
James Marsden
Vincent D'Onofrio
Jerzy Binczycki
Christopher Eccleston
Cheryl Ladd
Kate Nelligan
Nic Knight
Virginia Paris
Forrester Harvey
Silvana Mangano
Benjamin Bratt
Olivier Gourmet
Bonnie Hunt
Gemma Jones
John Simm
Nicole Kidman
Ron Lester
Anne Parillaud
Drake Bell
Udo Samel
Bibi Krubwa
Jonathan Jackson
Suzanne Cloutier
Ricky Schroder
Gilbert Gottfried
Amie Carey
Louise Latham
Beryl Reid
Daryl Hannah
Kyle Howard
Ruth Warrick
Mike Starr
Shaquille O'Neal
Ethan Hawke
Howie Long
Sheb Wooley
Katherine Krasney
Ousseynou Diop
David Morse
Jim Ross
Steve Zahn
Clarissa Burt
Lesley Ann Warren
Valérie Jeannet
Stacy Edwards
Jean-Pierre Lorit
Nick Cassavetes
Phil Buckman
Paul Nicholls
Sally Kirkland
Mako
Bruce A. Young
Shari Albert
Andrew Fraser
Michael Crawford
Elya Baskin
Bennett Ohta
Judy Holliday
William Hickey
André Dussollier
Patrick Magee
Jim Caviezel
Dee Hennigan
Mena Suvari
John Altamura
Yvonne Lawley
Jack Donner
Anne Archer
Sloan Cobb
Lee Ross
Annie Corley
Marc Michel
McGuinnes
Kitty Winn
Charles Martin Smith
George O'Hanlon
Robert Cain
David Wood
Kathryn Grayson
Michael Durrell
Wayne Knight
Takahiro Tamura
Melanie Mayron
Brittain Frye
Antonio Gades
Maxime McKendry
John Kapelos
Anthony Heald
Kevin Bernhardt
Mark Borchardt
Michael Badalucco
Joan Jett
Sean Pertwee
Liam Aiken
Filberto Ascencio
Ming-Na Wen
Peter Sallis
Kirstie Alley
Marc Barbé
Jean-Luc Bideau
Chiara Mastroianni
Philippe Petit
Miguel Ferrer
Stephen Dillane
Olivier Py
Clark Gregg
Heino Ferch
Donna Frotscher
Géraldine Danon
Raoul O'Connell
Jeremy Clyde
Pierre Brasseur
John Ritter
Kazuko Yoshiyuki
Rodolfo De Alexandre
David Bailey
Christopher Adamson
Betty Schuurman
Lisa Boyle
David Weston
Amy Madigan
Jack Davenport
Tatsuya Nakadai
Susie Porter
Jim Carrey
José Carlos Ruiz
Elias Koteas
Hulk Hogan
James Russo
Gary Lewis
Adriana Alexander
Filipp Yankovskiy
Tommy Kirk
Richard Chaim
Robert Douglas
Donald Calthrop
Desiree Casado
Roger Daltrey
Mary Louise Miller
Juliette Lewis
Michael Mangiamele
Julianna Margulies
Yuriy Solomin
Isa Danieli
Mark Flanagan
Alex Scott
Annette Funicello
Craig T. Nelson
Marton Csokas
Gary Hershberger
Heather Mitchell
Georges Du Fresne
Robert Glaudini
Chris Ferreira
Martin Balsam
Graham Chapman
Rafael Villalona
Franco Scaldati
Julieta Serrano
Isabelle Renauld
Estelle Harris
Barret Oliver
Joan Baez
Gail O'Grady
Candi Conder
Judith Anderson
Jean-Louis Perletti
Conchata Ferrell
Nick Upton
Timothy Reifsnyder
Jenni Blong
Nancy Lee Grahn
Talia Balsam
Henri Behar
J. Edward Bromberg
Calista Flockhart
Trey Parker
Bill Paterson
Sophie Rois
Richie Allan
Bo Derek
Azizeh Mohamadi
Peter Hudson
Andy Griffith
Ian Holm
Cary Elwes
Michael Preston
Judy Parfitt
Kristin Scott Thomas
August Schellenberg
Susan Shaw
Jesper Asholt
Jaime Gomez
Lisa Wilcox
Peter Barton
Michael von Au
Eileen Heckart
David Niven
István Bálint
Ann Robinson
Jane Leeves
Robert John Burke
Christina Cox
Charlie Hickman
Jared Harris
Patricia Manning
Jasmine Guy
Kath Soucie
Vera-Ellen
John Dall
Peter Masterson
Ying Huang
Tisha Sterling
John Lynch
Richard Cowan
Michael J. Nelson
Herman Bing
Dennis Dugan
Glenda Jackson
Hal Holbrook
Harry Bellaver
Nick Katsapetses
Yi Ding
Anna Borkowska
Mike Judge
Mark Schulte
Silvia Tortosa
Jonathan Taylor Thomas
Ryan Hurst
Tom Hulce
Simon Wettenhall
Victor French
Edward Arnold
Spencer Tracy
Brandon Merrill
Hiroshi Abe
Michael Richards
Kali Bannerjee
Judith Chancel
José Ferrer
Symon Basterfield
Mira Sorvino
Allison Dean
Celeste Holm
Dan Hicks
Aleksei Ananishnov
Alyssa Milano
Linus Roache
Yvonne Clech
Lois Chiles
Gina Brooke
Melinda Dillon
Richard Norton
Olivia Williams
Giustino Durano
Chloe Ferguson
Julius Averitt
JD Souther
Peter McDonald
Renée Le Calm
Carolyn Bock
Jeff Mazzola
Bruce Malmuth
Lee Marvin
Allan Corduner
Godfrey Tearle
Avi Hoffman
Chelsea Field
John Cameron Mitchell
Gedde Watanabe
Brian Blessed
Wolfgang Hübsch
Zi Wei
Monica Grey
Grace Jones
Rosa Maria Sardà
Tamlyn Tomita
Toni Collette
Ferdinand von Alten
John Mengatti
Peter Gallagher
Olympia Dukakis
Armin Mueller-Stahl
Bernard Lee
Mykelti Williamson
Cuauhtemoc Rivas
John Beckman
Cecilia Narova
Maggie Castle
Zeljko Ivanek
Hugh Keays-Byrne
Jon Fishman
Charlotte Véry
Bradley Pierce
Sandra Bernhard
Tom McDermott
Vincent Martinez
Shaun Parkes
Harry Belafonte
Helen Reddy
Ciaran Owens
Kristian Almgren
Kevin Murphy
Horst Buchholz
Jeff East
Patty McCormack
Kaela Dobkin
Monica Bellucci
Obba Babatundé
Tommy Redmond Hicks
Jason Bercy
Virginie Ledoyen
Erik von Detten
Peter Frechette
Natasha Morley
Debbie Harry
Paige Turco
Ian Parsons
Siobhan Redmond
Gary Merrill
Michael Denison
Amy Irving
Mari Morrow
Jackie Coogan
William R. Moses
Patricia Cutts
Wendy Hughes
Massimo Troisi
William Talman
Troels Lyby
Eliades Ochoa
John Taylor
Innokentiy Smoktunovskiy
Wenli Jiang
Jean-Luke Figueroa
Rachel McLish
Nigel Hawthorne
Anny Duperey
Richard Jaeckel
Joan Taylor
George Davis
Jennifer Babtist
Sherry Leigh
Aoi Nakajima
Magda Schneider
Martin Basch
Claire Du Brey
Guy Decomble
Florence Darel
Virginia McCollam
Margaret Leahy
Susan Tyrrell
Gina
Maurice Chevalier
Sarah Silverman
Cynthia Rothrock
Peter MacNeill
Joseph Rigano
Bridget Fonda
Slavoj Zizek
Dean Silvers
Tom Helmore
Suzanne Pleshette
Buzz Kilman
Michaline Babich
Salameh Feyzi
Paolo Bonacelli
Paula Abdul
Henry Czerny
David Morrissey
Simon Schwarz
Gustaf Gründgens
Roscoe Karns
Phat Trieu Hoang
Aitana Sánchez-Gijón
Joan Barry
Emily Harrison
Bruce Jones
Stephen Elliott
Leon Isaac Kennedy
Jennifer Rhodes
Sergey Dreyden
Betty 'Boop' Blake
Lisa Jane Persky
Jay Baker
Keiju Kobayashi
Joyce Redman
Jennifer Nitsch
Rudy Vallee
Masatoshi Nagase
Maureen Flannigan
Michel Auclair
Fanny Ardant
Michael Sibay
Mavis Beslile
Matthew Lawrence
Malcolm Sinclair
Marisol
Nicole DuBois
Michel Bompoil
Tung Thanh Tran
Frances Dee
Joanna Going
Maureen O'Hara
Silvana Corsini
Edith Evans
Shawn Andrews
Mark Watson
Alice Faye
Mary Tamm
Lee Nashold
Richard Conte
Thuy An Luu
William Schallert
Horace Hodges
Sian Thomas
Megs Jenkins
Jennifer Jason Leigh
Éva Igó
Steve Durham
Alan Fawcett
Marlene Dietrich
Vivian Blaine
Patsy Clarke
Bill McGhee
Harald Lundt
Hugh Marlowe
Armando De Razza
Mel Gorham
Stephen Curry
Danny Hoch
Fran Drescher
Ruth Gemmell
Susan Sarandon
James Hong
Corbin Allred
Illeana Douglas
Billy Talbot
Stacey Nelkin
Mia Sara
Kathryn Rossetter
Rafael Alonso
Gibb McLaughlin
Hilary Swank
Estelle Winwood
Elizabeth Hartman
Dennis Christopher
Marie Laforêt
Gina Hecht
Robert Blankshine
Richard Denning
David Stratton
Leo Gullotta
Bruce McCulloch
Madison Arnold
Kirsten Sheridan
Graham Beckel
Martin Benson
Bonnie Bedelia
Laurence Harvey
David Bennent
Lucille Ball
Amy Hathaway
Laurie Fortier
John Kerr
Heidi Fleiss
Mohammad Amir Naji
Michael Patrick Carter
Mary Tyler Moore
Feng Ku
J.D. Cannon
Scott Burkholder
Vanity
Wendell Pierce
Maria Schell
Roddy Maude-Roxby
Jean Andrews
Pierce Brosnan
Craig Ferguson
Walter Pidgeon
Gawn Grainger
Charlotte Curley
Toby Froud
Jurnee Smollett-Bell
Anne Tenney
Mark Metcalf
Stephen Young
Emily Mortimer
Viggo Mortensen
Letty Aronson
Thomas Jay Ryan
Michael Clarke Duncan
Lela Rochon
June Kyoto Lu
Dave Hoover
Linal Haft
Walter Brennan
Li Gong
Steven Page
Tom Hanks
Frank Vincent
Christopher Cazenove
Ron Silver
Otis Young
Catherine Hicks
David Patch
Leslie Howard
Angela Winkler
Tesshô Genda
James Cromwell
Alice Garner
Gail Youngs
Joe Carnahan
Gregory Knoph
Sergi López
Barbara Garrick
Rudolf Martin
Melanie Lynskey
Georges Wilson
Dennis Farina
Tano Cimarosa
Christopher Walken
Julia Nickson
John Randolph
Geneviève Lemon
Lynn Boyd
Deborah Amos
Gary Oldman
Charlie Creed-Miles
David Rosen
Kerry Fox
Angus Scrimm
Jennifer Banko
Edward Stanley
Andre Braugher
Reb Brown
Anna Grace
Frankie Faison
George Devine
Julia Weldon
Haviland Morris
Madeleine Assas
Percy Haswell
Gene Ross
Marcia Strassman
Raymond A. Mendez
Shaun Tomson
Mathieu Kassovitz
Olivia Barash
Akio Ôtsuka
Jimmy Hughes
Angela Means
Jackie Cooper
Paul Brightwell
Kim Coates
Carlo Ninchi
Deborah Kennedy
Phil Morris
Michael Stock
Ruth Hussey
Luise Rainer
Kevin Connolly
Rohini Hattangadi
Rachel Kempson
Catherine Curtin
Betty Amann
Halil Ergün
Richard O'Brien
Rudolph Valentino
Ronald Reagan
Eleanor Audley
Delroy Lindo
David Patrick Kelly
Paul Bowles
Jean Rochefort
Justin Theroux
José Torvay
Eddie Murphy
Fred Shields
Emiliano Guerra
Ann Dusenberry
Nicky Katt
Charles 'Buddy' Rogers
Joshua Seth
Wendell Wellman
Sandra Dee
John C. Ojwang
Charles Cyphers
Ivan Bekjarev
Michael Chiklis
Justin Borntraeger
Patricia Royce
Dominique Rocheteau
Daphne Zuniga
Martin Vidnovic
Bronson Pinchot
Guy Doleman
Timothy Carey
Ed Begley
Mika Boorem
Saturnin Fabre
Paul Reiser
Robert Keith
Dougray Scott
Barry Fitzgerald
Michel Serrault
Paul Wallace
Bill Baucom
Woody Allen
Costas Mandylor
Charles Johnson III
Shirl Bernheim
Bob Newhart
José Oliveira
Charles Gray
Marcus Gilbert
Peter Finch
Antonio Moreno
Diane Baker
David Hemmings
Ione Skye
Laura Betti
John Colicos
Travis Tedford
Cynda Williams
Anne Bancroft
Yasmine Bleeth
Ron Kaell
Fritz Rasp
Brittany Colonna
Wu Jiang
Roy Kinnear
Pavol Simon
Randall Adams
Stacey Dash
Michael Oliver
Paulina Porizkova
Aidan Quinn
Kevin Costner
Geneviève Pasquier
Jodhi May
G.W. Bailey
Aaliyah
Claudia Ferri
Damian Chapa
Joanne Whalley
Ruth Cracknell
Evelyn Keyes
Thomas Walter Blake Jr.
Brian Kerwin
Joe Morrison
Arnoldo Foà
Natasha Richardson
Rene Auberjonois
Murphy Guyer
George Lazenby
Mary Kate Schellhardt
Randle Ayrton
Gary Busey
Roy Scheider
Herb Caen
Julie Entwisle
Mickey Cottrell
Kasi Lemmons
Kimberly Stringer
Michael Dolan
Nino Kirtadze
William Zappa
John Neville
Claudio Camaso
Mickey Rourke
Zachary Mabry
Robin Williams
Rick Dean
Swoosie Kurtz
Cliff Robertson
Alan Alda
Samantha Eggar
Clifton James
Anthony Zerbe
Patricia Quinn
Erika Blanc
Soon-Yi Previn
Eddie Izzard
Max Epstein
Adrian Paul
Sheila Sim
David Forrester
Janeane Garofalo
Richard T. Jones
Suzzanne Douglas
William Kerwin
John Harkins
Gil Bellows
Danny Huston
Alison Whelan
Emlyn Williams
Ronnie Walsh
Evan Adams
Judith Vittet
Hubertus Bengsch
Barry Otto
Kathleen Freeman
Pete O'Herne
Gloria Charles
Brian McElroy
Mortimer Snerd
Kathrine Narducci
Christopher Reeve
Miriam Makeba
Shin'ya Tsukamoto
Bill Bowerman
Chris O'Donnell
Benji
Barbarao
Rory Block
Faruk Pruti
André Maranne
Cayetana Guillén Cuervo
Dean Jagger
Gene Barry
George C. Scott
Gemma Phoenix
Xuan Ngoc Nguyen
Lionel Abelanski
Frank Langella
Catherine Mary Stewart
Kyôko Koizumi
John Candy
Today Malone
Cecilia Roth
Catlin Foster
Emma Coles
Beth Toussaint
Ben Becker
LL Cool J
Ronee Blakley
Frances O'Connor
Robert Paige
Cindy Manion
Brian Bedford
Warren Clarke
Owen Roe
Virginia Capers
Robert Foxworth
Julie Hagerty
Paul McGann
Jacqueline McKenzie
Steve McQueen
Thomas Haden Church
Vincent Gardenia
Hoi Mang
Meera Syal
Luke Wilson
Kate Winslet
John Williams
John Garfield
Eiji Funakoshi
John Nolan
Mal Arnold
Darwin Joston
Charles Love
Bill Nunn
James Brolin
Tom Irwin
Kelly Hunter
Richard Moll
Enman Gao
Janine Turner
Casey Affleck
Harpo Marx
Will Patton
John Barrymore
Sarita Choudhury
Jaime Levy
Kim Hunter
Florence Hoath
Robert Romanus
Ward Bond
François Périer
Tim Holt
Sandra Voe
Catriona MacColl
Barbara Eden
Jean-Pierre Léaud
Jürgen Andreas
Charles Napier
Ronald Allen
Wallace Shawn
Andrew Prine
Tom Berenger
John Glover
Faye Dunaway
Shawn Hatosy
Craig Anthony Olejnik
Kevin Lin
Kamala Adhikari
Traci Lind
María Barranco
Trula Hoosier
Mario Brega
Riz Abbasi
Chad McQueen
Michael Moriarty
Courtney Thorne-Smith
Daniela Silverio
Mark Frankel
Abbas Sayah
Mario Cunha
Don Byron
Julie Bowen
Eric Blore
Seong-il An
Adam Ant
The Edge
Richard Pryor
Dee Smart
Laurel Holloman
Richard Eyer
Pamela Blair
Jim Breuer
Hugh Laurie
Nikolaj Coster-Waldau
Sophie Ward
Anthony 'Treach' Criss
Romane Bohringer
Michael Biehn
Dyan Cannon
Michael Rispoli
Tim Guinee
Gil Gross
Scott Caan
George Clooney
Tommy Lee Jones
Samantha Mathis
Yutaka Nakano
Maureen Stapleton
Claudio Santamaria
Robert Urquhart
Alex Borchardt
Jeffrey Allen
Boris Delcevski
Chris Grigg
Marcel Hillaire
Gwyneth Paltrow
Raúl Carbonell
Gloria Lynne Henry
Roseanne Barr
Aidan Gillen
Wendy Crewson
Mary Kay Bergman
Maureen All
Tom Guiry
Jonathan Fuller
Gordon Oas-Heim
Edna Purviance
Mark Moses
Terrence Howard
Meret Becker
Ellen Widmann
Ingrid Goude
Marcia Gay Harden
Avery Brooks
Alison Eastwood
Dean Stockwell
Ed Begley Jr.
Randy Little
Björk
Penelope Allen
Melora Walters
Teri Hatcher
Earl Rowe
Michael Gallagher
Nell Potts
George Grizzard
John Carroll
Isobel Elsom
Elden Henson
Mr. Joseph Young
Catlin Adams
Joseph Calleia
Bonnie Bartlett
Michel Elias
Harvey Korman
Jeff Greenman
Marcy King
Michael Rosenbaum
Ted Danson
Anna Bortnick
Rachel True
Luna Lauren Velez
Grigoriy Aleksandrov
Sharon Stone
Suzanne Bertish
Ryan Phillippe
Sage Stallone
Angel Ramirez Jr.
Brian Aherne
Rebecca Williams
River Phoenix
Rick Stear
Kimberly McArthur
Ed Viesturs
Stellan Skarsgård
Frank Morgan
Paul Mercurio
Michelle Meyrink
DeForest Kelley
Aleksandar Bercek
Victor Spinetti
Diana Wynyard
Sandy Baron
Brian Doyle-Murray
Sophie Schneider
Jenna Elfman
Dan Moran
Stacia Zhivago
Anjanette Comer
Randy Quaid
Bill Murray
Marilyn Sokol
In-young Joo
Savion Glover
Mary Beth Hurt
Jeffrey Tambor
Robert Carlyle
Lorraine Gary
Antonia Corrigan
Paul Cicero
Doug Stone
Stephen Macht
Michael Des Barres
Bronson Dudley
Ken Foree
Art Evans
Linda Bassett
Timothy Busfield
Kristi Gibson
Dave Sheridan
Mamaengaroa Kerr-Bell
Corbin Bernsen
Bjørn Sundquist
Frank Sinatra
David Paul Francis
Mikhail Nazvanov
James MacArthur
Radha Mitchell
Paul Angelis
Ian McKellen
